"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",7.625972,0.463415,NA,NA,NA,NA,NA,NA,NA,NA
"2",-5.800962,3.6063,0.323954,NA,NA,NA,NA,NA,NA,NA
"3",-0.584698,-2.951278,2.653847,0.263182,NA,NA,NA,NA,NA,NA
"4",-0.339474,-0.182401,-2.058371,2.198581,0.227286,NA,NA,NA,NA,NA
"5",-0.197038,-0.214891,-0.138728,-1.666071,1.918418,0.202929,NA,NA,NA,NA
"6",-0.126877,-0.134649,-0.162498,-0.112322,-1.434904,1.723807,0.18502,NA,NA,NA
"7",-0.088278,-0.092042,-0.105026,-0.133815,-0.095626,-1.278587,1.578512,0.171141,NA,NA
"8",-0.064907,-0.066934,-0.073682,-0.087694,-0.115548,-0.084151,-1.164009,1.464693,0.159977,NA
"9",-0.04825,-0.04941,-0.053181,-0.060617,-0.074289,-0.100408,-0.072617,-1.070717,1.381857,0.251406
"10",-0.044883,-0.045711,-0.048354,-0.053365,-0.061987,-0.076986,-0.104895,-0.086465,-1.03729,0.984158
